WFO,WARN_TYPE,total_warnings,verified_warnings,verification_rate_pct
MRX,SV,1,1,100.0
ARX,SV,1,1,100.0
SHV,SV,2,2,100.0
HUN,SV,1,1,100.0
RLX,SV,1,1,100.0
LOT,SV,2,2,100.0
LMK,SV,21,18,85.71
JKL,SV,6,5,83.33
IND,SV,36,30,83.33
OHX,SV,13,10,76.92
MEG,SV,20,15,75.0
FWD,SV,10,7,70.0
PAH,SV,39,27,69.23
ILN,SV,9,6,66.67
EAX,SV,9,6,66.67
SGF,SV,33,21,63.64
LSX,SV,49,28,57.14
ILX,SV,38,21,55.26
IWX,SV,6,3,50.0
DVN,SV,2,1,50.0
ICT,SV,5,2,40.0
LUB,SV,3,1,33.33
MKX,SV,6,2,33.33
LZK,SV,12,1,8.33
DMX,SV,1,0,0.0
GRR,SV,4,0,0.0
FFC,SV,1,0,0.0
OUN,SV,1,0,0.0
EAX,TO,1,1,100.0
LMK,TO,4,2,50.0
OHX,TO,3,1,33.33
LZK,TO,9,2,22.22
PAH,TO,7,1,14.29
ILX,TO,17,2,11.76
LSX,TO,26,3,11.54
IND,TO,9,1,11.11
MEG,TO,5,0,0.0
SGF,TO,4,0,0.0
JKL,TO,1,0,0.0
ARX,TO,1,0,0.0
ILN,TO,2,0,0.0
